campaign_id,campaign_name,build_id,collection_name,is_rail_item,rail_name,rail_position,collection_position,product_name,brand,product_url,external_id,price,currency,stock_status,observed_at,annotation
almost-fall-2026,Almost Fall,b006,Dinnerware & Serveware,TRUE,The table comes inside,9,9,Outdoor Big Plates,Year & Day,https://yearandday.com/products/outdoor-big-plates,,70,USD,in_stock,2026-06-06,
almost-fall-2026,Almost Fall,b006,Dinnerware & Serveware,TRUE,The table comes inside,10,10,Outdoor Big Plates (Set of 4),Year & Day,https://yearandday.com/products/outdoor-big-plates,,62,USD,in_stock,2026-06-06,
almost-fall-2026,Almost Fall,b006,Dinnerware & Serveware,TRUE,The table comes inside,11,11,Porcelain Mug - Book Club,Rifle Paper Co,https://riflepaperco.com/products/porcelain-mug-book-club,,24,USD,in_stock,2026-06-06,
almost-fall-2026,Almost Fall,b006,Dinnerware & Serveware,TRUE,The table comes inside,12,12,"Hand Painted Breakfast Bowl, Tulip Crown",East Fork,https://eastfork.com/products/breakfast-bowl-tulip-crown,,46,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Dinnerware & Serveware,FALSE,,,13,"Hand Painted Cake Plate, Tulip Crown",East Fork,https://eastfork.com/products/cake-plate-tulip-crown,,40,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Dinnerware & Serveware,FALSE,,,14,"Hand Painted Dinner Plate, Tulip Crown",East Fork,https://eastfork.com/products/dinner-plate-tulip-crown,,68,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Dinnerware & Serveware,FALSE,,,15,"Hand Painted Everyday Bowl, Tulip Crown",East Fork,https://eastfork.com/products/everyday-bowl-tulip-crown,,64,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Dinnerware & Serveware,FALSE,,,16,"Hand Painted Mug, Tulip Crown",East Fork,https://eastfork.com/products/the-mug-tulip-crown,,68,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Dinnerware & Serveware,FALSE,,,17,"Hand Painted Serving Platter, Tulip Crown",East Fork,https://eastfork.com/products/serving-platter-tulip-crown,,210,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Dinnerware & Serveware,FALSE,,,18,"Hand Painted Side Plate, Tulip Crown",East Fork,https://eastfork.com/products/side-plate-tulip-crown,,56,USD,in_stock,2026-08-07,
